time,particle #,lat,lon
2019-03-05T01:00:00.000000000,53,-33.98904,151.36081
2019-03-05T00:00:00.000000000,54,-33.94,151.36
2019-03-05T00:00:00.000000000,55,-33.92,151.36
2019-03-05T00:00:00.000000000,56,-33.9,151.36
2019-03-05T03:00:00.000000000,56,-33.98586,151.36244
2019-03-05T00:00:00.000000000,57,-33.88,151.36
2019-03-05T04:00:00.000000000,57,-33.993633,151.3633
2019-03-05T00:00:00.000000000,58,-33.86,151.36
2019-03-05T00:00:00.000000000,59,-33.86,151.348
2019-03-05T05:00:00.000000000,59,-34.000984,151.35217
2019-03-05T00:00:00.000000000,60,-33.86,151.34
2019-03-05T05:00:00.000000000,60,-34.000984,151.34416
2019-03-05T00:00:00.000000000,61,-33.86,151.33
2019-03-05T05:00:00.000000000,61,-34.000984,151.33417
2019-03-05T00:00:00.000000000,62,-33.86,151.32
2019-03-05T05:00:00.000000000,62,-34.000984,151.32417
2019-03-05T00:00:00.000000000,63,-33.86,151.31
2019-03-05T05:00:00.000000000,63,-34.000984,151.31416
2019-03-05T00:00:00.000000000,64,-33.86,151.3
2019-03-05T05:00:00.000000000,64,-34.000984,151.30417
2019-03-06T00:00:00.000000000,65,-33.99,151.36
2019-03-06T00:00:00.000000000,65,-33.99,151.36
2019-03-06T00:00:00.000000000,66,-33.96,151.36
2019-03-06T00:00:00.000000000,67,-33.94,151.36
2019-03-06T00:00:00.000000000,68,-33.92,151.36
2019-03-06T04:00:00.000000000,68,-33.992176,151.36424
2019-03-06T00:00:00.000000000,69,-33.9,151.36
2019-03-06T00:00:00.000000000,70,-33.88,151.36
2019-03-06T00:00:00.000000000,71,-33.86,151.36
2019-03-06T00:00:00.000000000,72,-33.86,151.348
2019-03-06T08:00:00.000000000,72,-33.99368,151.35577
2019-03-06T00:00:00.000000000,73,-33.86,151.34
2019-03-06T08:00:00.000000000,73,-33.99368,151.34776
2019-03-06T00:00:00.000000000,74,-33.86,151.33
2019-03-06T08:00:00.000000000,74,-33.99368,151.33777
2019-03-06T00:00:00.000000000,75,-33.86,151.32
2019-03-06T08:00:00.000000000,75,-33.99368,151.32777
2019-03-06T00:00:00.000000000,76,-33.86,151.31
2019-03-06T08:00:00.000000000,76,-33.99368,151.31776
2019-03-06T00:00:00.000000000,77,-33.86,151.3
2019-03-06T08:00:00.000000000,77,-33.99368,151.30777
2019-03-07T00:00:00.000000000,78,-33.99,151.36
2019-03-07T00:00:00.000000000,78,-33.99,151.36
2019-03-07T00:00:00.000000000,79,-33.96,151.36
2019-03-07T06:00:00.000000000,79,-33.990143,151.35963
2019-03-07T00:00:00.000000000,80,-33.94,151.36
2019-03-07T09:00:00.000000000,80,-33.99462,151.3594
2019-03-07T00:00:00.000000000,81,-33.92,151.36
2019-03-07T11:00:00.000000000,81,-33.994415,151.35922
2019-03-07T00:00:00.000000000,82,-33.9,151.36
2019-03-07T12:00:00.000000000,82,-33.985363,151.35912
2019-03-07T00:00:00.000000000,83,-33.88,151.36
2019-03-07T14:00:00.000000000,83,-33.989338,151.35893
2019-03-07T00:00:00.000000000,84,-33.86,151.36
2019-03-07T16:00:00.000000000,84,-33.996105,151.35872
2019-03-07T00:00:00.000000000,85,-33.86,151.348
2019-03-07T16:00:00.000000000,85,-33.996105,151.34673
2019-03-07T00:00:00.000000000,86,-33.86,151.34
2019-03-07T16:00:00.000000000,86,-33.996105,151.33871
2019-03-07T00:00:00.000000000,87,-33.86,151.33
2019-03-07T16:00:00.000000000,87,-33.996105,151.32872
2019-03-07T00:00:00.000000000,88,-33.86,151.32
2019-03-07T16:00:00.000000000,88,-33.996105,151.31873
2019-03-07T00:00:00.000000000,89,-33.86,151.31
2019-03-07T16:00:00.000000000,89,-33.996105,151.30872
2019-03-07T00:00:00.000000000,90,-33.86,151.3
2019-03-07T16:00:00.000000000,90,-33.996105,151.29872
2019-03-08T00:00:00.000000000,91,-33.99,151.36
2019-03-08T00:00:00.000000000,91,-33.99,151.36
2019-03-08T00:00:00.000000000,92,-33.96,151.36
2019-03-08T01:00:00.000000000,92,-33.979813,151.3598
2019-03-08T00:00:00.000000000,93,-33.94,151.36
2019-03-08T02:00:00.000000000,93,-33.98009,151.35944
2019-03-08T00:00:00.000000000,94,-33.92,151.36
2019-03-08T03:00:00.000000000,94,-33.98083,151.3589
2019-03-08T00:00:00.000000000,95,-33.9,151.36
2019-03-08T04:00:00.000000000,95,-33.982037,151.3582
2019-03-08T00:00:00.000000000,96,-33.88,151.36
2019-03-08T05:00:00.000000000,96,-33.983704,151.35733
2019-03-08T00:00:00.000000000,97,-33.86,151.36
2019-03-08T06:00:00.000000000,97,-33.985836,151.3563
2019-03-08T00:00:00.000000000,98,-33.86,151.348
2019-03-08T06:00:00.000000000,98,-33.985836,151.3443
2019-03-08T00:00:00.000000000,99,-33.86,151.34
2019-03-08T06:00:00.000000000,99,-33.985836,151.33629
2019-03-08T00:00:00.000000000,100,-33.86,151.33
2019-03-08T06:00:00.000000000,100,-33.985836,151.3263
2019-03-08T00:00:00.000000000,101,-33.86,151.32
2019-03-08T06:00:00.000000000,101,-33.985836,151.3163
2019-03-08T00:00:00.000000000,102,-33.86,151.31
2019-03-08T06:00:00.000000000,102,-33.985836,151.30629
2019-03-08T00:00:00.000000000,103,-33.86,151.3
2019-03-08T06:00:00.000000000,103,-33.985836,151.2963
2019-03-09T00:00:00.000000000,104,-33.99,151.36
2019-03-09T00:00:00.000000000,104,-33.99,151.36
2019-03-09T00:00:00.000000000,105,-33.96,151.36
2019-03-09T01:00:00.000000000,105,-33.99088,151.35594
2019-03-09T00:00:00.000000000,106,-33.94,151.36
2019-03-09T02:00:00.000000000,106,-34.00124,151.35188
2019-03-09T00:00:00.000000000,107,-33.92,151.36
2019-03-09T02:00:00.000000000,107,-33.98124,151.35188
2019-03-09T00:00:00.000000000,108,-33.9,151.36
2019-03-09T03:00:00.000000000,108,-33.991085,151.34784
2019-03-09T00:00:00.000000000,109,-33.88,151.36
2019-03-09T04:00:00.000000000,109,-34.00041,151.34381
2019-03-09T00:00:00.000000000,110,-33.86,151.36
2019-03-09T04:00:00.000000000,110,-33.980408,151.34383
2019-03-09T00:00:00.000000000,111,-33.86,151.348
2019-03-09T04:00:00.000000000,111,-33.980408,151.33183
2019-03-09T00:00:00.000000000,112,-33.86,151.34
2019-03-09T04:00:00.000000000,112,-33.980408,151.32382
2019-03-09T00:00:00.000000000,113,-33.86,151.33
2019-03-09T04:00:00.000000000,113,-33.980408,151.31383
2019-03-09T00:00:00.000000000,114,-33.86,151.32
2019-03-09T04:00:00.000000000,114,-33.980408,151.30383
2019-03-09T00:00:00.000000000,115,-33.86,151.31
2019-03-09T04:00:00.000000000,115,-33.980408,151.29382
2019-03-09T00:00:00.000000000,116,-33.86,151.3
2019-03-09T04:00:00.000000000,116,-33.980408,151.28383
2019-03-10T00:00:00.000000000,117,-33.99,151.36
2019-03-10T00:00:00.000000000,117,-33.99,151.36
2019-03-10T00:00:00.000000000,118,-33.96,151.36
2019-03-10T01:00:00.000000000,118,-33.978447,151.35623
2019-03-10T00:00:00.000000000,119,-33.94,151.36
2019-03-10T02:00:00.000000000,119,-33.976894,151.35246
2019-03-10T00:00:00.000000000,120,-33.92,151.36
2019-03-10T04:00:00.000000000,120,-33.99379,151.34492
2019-03-10T00:00:00.000000000,121,-33.9,151.36
2019-03-10T05:00:00.000000000,121,-33.99224,151.34116
2019-03-10T00:00:00.000000000,122,-33.88,151.36
2019-03-10T06:00:00.000000000,122,-33.99069,151.33739
2019-03-10T00:00:00.000000000,123,-33.86,151.36
2019-03-10T07:00:00.000000000,123,-33.989136,151.33362
2019-03-10T00:00:00.000000000,124,-33.86,151.348
2019-03-10T07:00:00.000000000,124,-33.989136,151.32162
2019-03-10T00:00:00.000000000,125,-33.86,151.34
2019-03-10T07:00:00.000000000,125,-33.989136,151.31361
2019-03-10T00:00:00.000000000,126,-33.86,151.33
2019-03-10T07:00:00.000000000,126,-33.989136,151.30362
2019-03-10T00:00:00.000000000,127,-33.86,151.32
2019-03-10T07:00:00.000000000,127,-33.989136,151.29362
2019-03-10T00:00:00.000000000,128,-33.86,151.31
2019-03-10T07:00:00.000000000,128,-33.989136,151.28362
2019-03-10T00:00:00.000000000,129,-33.86,151.3
2019-03-10T07:00:00.000000000,129,-33.989136,151.27362
2019-03-11T00:00:00.000000000,130,-33.99,151.36
2019-03-11T00:00:00.000000000,131,-33.96,151.36
2019-03-11T00:00:00.000000000,132,-33.94,151.36
2019-03-11T00:00:00.000000000,133,-33.92,151.36
2019-03-11T00:00:00.000000000,134,-33.9,151.36
2019-03-11T00:00:00.000000000,135,-33.88,151.36
2019-03-11T00:00:00.000000000,136,-33.86,151.36
2019-03-11T00:00:00.000000000,137,-33.86,151.348
2019-03-11T00:00:00.000000000,138,-33.86,151.34
2019-03-11T00:00:00.000000000,139,-33.86,151.33
2019-03-11T00:00:00.000000000,140,-33.86,151.32
2019-03-11T00:00:00.000000000,141,-33.86,151.31
2019-03-11T00:00:00.000000000,142,-33.86,151.3
