time,particle #,lat,lon
2018-01-03T00:00:00.000000000,79,-34.032887,151.29689
2018-01-04T00:00:00.000000000,80,-33.91836,151.26292
2018-01-05T00:00:00.000000000,81,-33.809723,151.25714
2018-01-06T00:00:00.000000000,81,-33.833153,151.10835
2018-01-03T00:00:00.000000000,82,-34.07263,151.1041
2018-01-03T00:00:00.000000000,83,-34.035526,151.15195
2018-01-03T00:00:00.000000000,84,-34.01242,151.25552
2018-01-03T00:00:00.000000000,85,-33.886147,151.38426
2018-01-04T00:00:00.000000000,85,-33.854866,151.20268
2018-01-04T00:00:00.000000000,86,-33.805706,151.37877
2018-01-03T00:00:00.000000000,90,-33.92155,151.26546
2018-01-04T00:00:00.000000000,90,-33.885498,151.10986
2018-01-03T00:00:00.000000000,97,-33.844612,151.22757
2018-01-04T00:00:00.000000000,98,-33.804955,151.1276
2018-01-13T00:00:00.000000000,104,-34.060097,151.2558
2018-01-14T00:00:00.000000000,104,-33.98644,151.11255
2018-01-14T00:00:00.000000000,124,-34.097942,151.11919
2018-01-14T00:00:00.000000000,131,-34.018997,151.15096
2018-01-14T00:00:00.000000000,138,-34.05519,151.21152
2018-01-14T00:00:00.000000000,153,-34.005028,151.26276
2018-01-15T00:00:00.000000000,153,-33.952923,151.11328
2018-01-04T00:00:00.000000000,297,-34.053288,151.22388
2018-01-05T00:00:00.000000000,298,-34.03722,151.12218
2018-01-05T00:00:00.000000000,299,-33.91163,151.32184
2018-01-06T00:00:00.000000000,299,-33.879997,151.14166
2018-01-05T00:00:00.000000000,300,-33.859676,151.37778
2018-01-06T00:00:00.000000000,300,-33.82084,151.23288
2018-01-04T00:00:00.000000000,301,-34.06471,151.13885
2018-01-04T00:00:00.000000000,302,-34.026012,151.21465
2018-01-04T00:00:00.000000000,303,-33.934437,151.30103
2018-01-05T00:00:00.000000000,303,-33.911213,151.10051
2018-01-05T00:00:00.000000000,304,-33.891937,151.21504
2018-01-04T00:00:00.000000000,309,-33.903984,151.24799
2018-01-04T00:00:00.000000000,316,-33.850266,151.27325
2018-01-05T00:00:00.000000000,316,-33.855156,151.12488
2018-01-12T00:00:00.000000000,322,-33.94302,151.29991
2018-01-13T00:00:00.000000000,322,-33.89471,151.15775
2018-01-12T00:00:00.000000000,330,-33.818054,151.30008
2018-01-13T00:00:00.000000000,330,-33.814663,151.16705
2018-01-12T00:00:00.000000000,335,-33.809063,151.21567
