DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,VCURrot_11m,UCURrot_11m,VCURrot_95m,UCURrot_95m,VCUR_int,UCUR_int,VCUR_11m,UCUR_11m,VCUR_95m,UCUR_95m
2016-03-01-10,736390.4167,-0.297, 0.125,-0.356, 0.073,-0.092, 0.119,-0.322, 0.021,-0.360,-0.047,-0.126, 0.083
2016-03-01-11,736390.4583,-0.292, 0.121,-0.341, 0.037,-0.061, 0.087,-0.316, 0.020,-0.335,-0.076,-0.086, 0.062
2016-03-01-12,   736390.5,-0.293, 0.119,-0.335,-0.002,-0.089, 0.122,-0.316, 0.017,-0.316,-0.110,-0.124, 0.086
2016-03-01-13,736390.5417,-0.279, 0.110,-0.297, 0.029,-0.084, 0.103,-0.300, 0.013,-0.290,-0.069,-0.113, 0.070
2016-03-01-14,736390.5833,-0.272, 0.114,-0.276, 0.034,-0.099, 0.120,-0.295, 0.019,-0.272,-0.058,-0.133, 0.081
2016-03-01-15, 736390.625,-0.276, 0.111,-0.282, 0.069,-0.086, 0.100,-0.297, 0.016,-0.289,-0.026,-0.114, 0.067
2016-03-01-16,736390.6667,-0.271, 0.103,-0.312, 0.112,-0.078, 0.075,-0.290, 0.009,-0.331, 0.004,-0.098, 0.046
2016-03-01-17,736390.7083,-0.260, 0.083,-0.380,-0.197,-0.111, 0.175,-0.273,-0.006,-0.295,-0.310,-0.162, 0.129
2016-03-01-18,  736390.75,-0.274, 0.112,-0.511,-0.131,-0.134, 0.162,-0.295, 0.017,-0.440,-0.290,-0.180, 0.110
2016-03-01-19,736390.7917,-0.270, 0.085,-0.600, 0.004,-0.121, 0.131,-0.283,-0.007,-0.568,-0.192,-0.157, 0.085
2016-03-01-20,736390.8333,-0.300, 0.075,-0.628, 0.167,-0.097, 0.095,-0.308,-0.027,-0.649,-0.046,-0.123, 0.058
2016-03-01-21, 736390.875,-0.289, 0.044,-0.618, 0.154,-0.077, 0.053,-0.288,-0.053,-0.635,-0.056,-0.090, 0.025
2016-03-01-22,736390.9167,-0.273, 0.012,-0.542, 0.167,-0.091, 0.070,-0.262,-0.078,-0.567,-0.019,-0.109, 0.037
2016-03-01-23,736390.9583,-0.277,-0.003,-0.489, 0.033,-0.119, 0.118,-0.261,-0.093,-0.473,-0.128,-0.151, 0.073
2016-03-02-00,     736391,-0.262,-0.012,-0.476,-0.069,-0.122, 0.124,-0.244,-0.096,-0.428,-0.221,-0.156, 0.078
2016-03-02-01,736391.0417,-0.251,-0.006,-0.421,-0.009,-0.107, 0.093,-0.235,-0.088,-0.395,-0.146,-0.131, 0.054
2016-03-02-02,736391.0833,-0.256, 0.010,-0.370,-0.045,-0.064, 0.060,-0.246,-0.074,-0.335,-0.163,-0.080, 0.036
2016-03-02-03, 736391.125,-0.267, 0.007,-0.321,-0.141,-0.085, 0.109,-0.255,-0.081,-0.257,-0.238,-0.116, 0.075
2016-03-02-04,736391.1667,-0.240, 0.001,-0.340,-0.118,-0.061, 0.070,-0.227,-0.077,-0.283,-0.222,-0.081, 0.047
2016-03-02-05,736391.2083,-0.230, 0.018,-0.307,-0.101,-0.036, 0.026,-0.224,-0.058,-0.258,-0.196,-0.043, 0.013
2016-03-02-06,  736391.25,-0.203, 0.015,-0.321,-0.020,-0.024,-0.029,-0.197,-0.052,-0.296,-0.124,-0.014,-0.035
2016-03-02-07,736391.2917,-0.186, 0.012,-0.294, 0.031,-0.021,-0.033,-0.180,-0.049,-0.289,-0.066,-0.009,-0.038
2016-03-02-08,736391.3333,-0.174, 0.013,-0.250, 0.053,-0.032,-0.022,-0.169,-0.045,-0.254,-0.032,-0.023,-0.031
2016-03-02-09, 736391.375,-0.157, 0.015,-0.220, 0.137,-0.021,-0.054,-0.154,-0.037,-0.253, 0.058,-0.002,-0.058
2016-03-02-10,736391.4167,-0.151, 0.034,-0.199, 0.198,-0.011,-0.039,-0.154,-0.017,-0.252, 0.122, 0.002,-0.040
2016-03-02-11,736391.4583,-0.161, 0.062,-0.170, 0.184,-0.053, 0.010,-0.173, 0.006,-0.220, 0.118,-0.053,-0.007
2016-03-02-12,   736391.5,-0.172, 0.092,-0.180, 0.226,-0.077, 0.046,-0.192, 0.031,-0.244, 0.155,-0.087, 0.019
2016-03-02-13,736391.5417,-0.193, 0.116,-0.208, 0.158,-0.099, 0.131,-0.220, 0.047,-0.249, 0.082,-0.136, 0.091
2016-03-02-14,736391.5833,-0.175, 0.155,-0.181, 0.113,-0.084, 0.110,-0.216, 0.090,-0.207, 0.048,-0.115, 0.077
2016-03-02-15, 736391.625,-0.220, 0.201,-0.349, 0.131,-0.094, 0.125,-0.273, 0.119,-0.372, 0.011,-0.129, 0.088
2016-03-02-16,736391.6667,-0.273, 0.225,-0.379, 0.117,-0.128, 0.175,-0.331, 0.124,-0.396,-0.013,-0.178, 0.124
2016-03-02-17,736391.7083,-0.329, 0.222,-0.444, 0.193,-0.136, 0.176,-0.383, 0.103,-0.483, 0.038,-0.186, 0.122
2016-03-02-18,  736391.75,-0.344, 0.205,-0.479, 0.227,-0.147, 0.162,-0.392, 0.082,-0.526, 0.059,-0.192, 0.106
2016-03-02-19,736391.7917,-0.354, 0.175,-0.492, 0.279,-0.135, 0.121,-0.391, 0.050,-0.556, 0.104,-0.167, 0.071
2016-03-02-20,736391.8333,-0.372, 0.171,-0.532, 0.351,-0.136, 0.102,-0.407, 0.041,-0.617, 0.159,-0.161, 0.052
2016-03-02-21, 736391.875,-0.402, 0.201,-0.516, 0.309,-0.158, 0.109,-0.445, 0.059,-0.589, 0.124,-0.185, 0.052
2016-03-02-22,736391.9167,-0.454, 0.219,-0.538, 0.431,-0.167, 0.113,-0.501, 0.059,-0.649, 0.233,-0.195, 0.052
2016-03-02-23,736391.9583,-0.463, 0.214,-0.519, 0.452,-0.163, 0.116,-0.507, 0.052,-0.638, 0.258,-0.191, 0.057
2016-03-03-00,     736392,-0.450, 0.217,-0.508, 0.410,-0.153, 0.095,-0.496, 0.058,-0.614, 0.222,-0.175, 0.040
2016-03-03-01,736392.0417,-0.451, 0.204,-0.465, 0.358,-0.158, 0.095,-0.492, 0.046,-0.556, 0.187,-0.180, 0.039
2016-03-03-02,736392.0833,-0.450, 0.181,-0.440, 0.278,-0.161, 0.102,-0.484, 0.025,-0.507, 0.120,-0.185, 0.044
2016-03-03-03, 736392.125,-0.445, 0.194,-0.425, 0.228,-0.153, 0.103,-0.484, 0.039,-0.477, 0.078,-0.179, 0.048
2016-03-03-04,736392.1667,-0.464, 0.232,-0.416, 0.165,-0.180, 0.112,-0.514, 0.068,-0.447, 0.021,-0.206, 0.047
2016-03-03-05,736392.2083,-0.478, 0.215,-0.551, 0.246,-0.133, 0.030,-0.522, 0.047,-0.601, 0.053,-0.135,-0.015
2016-03-03-06,  736392.25,-0.480, 0.234,-0.582, 0.257,-0.166, 0.088,-0.530, 0.065,-0.634, 0.053,-0.185, 0.030
2016-03-03-07,736392.2917,-0.469, 0.220,-0.646, 0.299,-0.159, 0.083,-0.515, 0.055,-0.708, 0.072,-0.177, 0.026
2016-03-03-08,736392.3333,-0.464, 0.203,-0.605, 0.217,-0.167, 0.105,-0.505, 0.041,-0.643, 0.008,-0.192, 0.045
2016-03-03-09, 736392.375,-0.467, 0.209,-0.632, 0.159,-0.160, 0.113,-0.510, 0.046,-0.649,-0.056,-0.188, 0.055
2016-03-03-10,736392.4167,-0.451, 0.208,-0.663, 0.293,-0.152, 0.069,-0.495, 0.050,-0.722, 0.061,-0.166, 0.015
2016-03-03-11,736392.4583,-0.465, 0.201,-0.669, 0.252,-0.167, 0.112,-0.505, 0.039,-0.714, 0.021,-0.195, 0.051
2016-03-03-12,   736392.5,-0.472, 0.179,-0.732, 0.268,-0.145, 0.080,-0.505, 0.016,-0.779, 0.015,-0.163, 0.029
2016-03-03-13,736392.5417,-0.465, 0.181,-0.792, 0.349,-0.140, 0.025,-0.499, 0.020,-0.862, 0.072,-0.140,-0.022
2016-03-03-14,736392.5833,-0.487, 0.228,-0.854, 0.348,-0.198, 0.046,-0.534, 0.057,-0.921, 0.051,-0.202,-0.021
2016-03-03-15, 736392.625,-0.525, 0.267,-0.937, 0.279,-0.210, 0.080,-0.583, 0.082,-0.976,-0.042,-0.225, 0.007
2016-03-03-16,736392.6667,-0.552, 0.258,-0.985, 0.384,-0.203, 0.065,-0.606, 0.065,-1.056, 0.042,-0.213,-0.004
2016-03-03-17,736392.7083,-0.610, 0.269,-0.931, 0.259,-0.204, 0.130,-0.664, 0.056,-0.964,-0.058,-0.236, 0.057
2016-03-03-18,  736392.75,-0.631, 0.257,-0.945, 0.302,-0.196, 0.132,-0.680, 0.037,-0.992,-0.022,-0.229, 0.061
2016-03-03-19,736392.7917,-0.619, 0.229,-0.978, 0.299,-0.175, 0.062,-0.660, 0.015,-1.022,-0.036,-0.185, 0.002
2016-03-03-20,736392.8333,-0.611, 0.229,-0.988, 0.291,-0.179, 0.061,-0.652, 0.017,-1.029,-0.047,-0.189,-0.001
2016-03-03-21, 736392.875,-0.590, 0.208,-0.938, 0.292,-0.134, 0.041,-0.626, 0.004,-0.982,-0.029,-0.140,-0.005
2016-03-03-22,736392.9167,-0.586, 0.200,-0.968, 0.288,-0.124, 0.020,-0.619,-0.002,-1.009,-0.043,-0.123,-0.022
2016-03-03-23,736392.9583,-0.523, 0.182,-0.917, 0.340,-0.129, 0.027,-0.554, 0.002,-0.978, 0.023,-0.131,-0.017
2016-03-04-00,     736393,-0.514, 0.163,-0.888, 0.308,-0.123, 0.045,-0.539,-0.013,-0.940, 0.002,-0.131, 0.003
2016-03-04-01,736393.0417,-0.515, 0.152,-0.845, 0.227,-0.144, 0.098,-0.537,-0.025,-0.873,-0.061,-0.168, 0.046
2016-03-04-02,736393.0833,-0.484, 0.128,-0.796, 0.216,-0.152, 0.106,-0.500,-0.037,-0.823,-0.055,-0.178, 0.050
2016-03-04-03, 736393.125,-0.470, 0.127,-0.715, 0.115,-0.161, 0.131,-0.485,-0.033,-0.714,-0.124,-0.194, 0.071
2016-03-04-04,736393.1667,-0.455, 0.116,-0.637,-0.048,-0.173, 0.184,-0.468,-0.038,-0.587,-0.253,-0.224, 0.117
2016-03-04-05,736393.2083,-0.409, 0.109,-0.565,-0.069,-0.165, 0.173,-0.423,-0.030,-0.511,-0.249,-0.212, 0.110
2016-03-04-06,  736393.25,-0.392, 0.110,-0.557,-0.089,-0.148, 0.152,-0.406,-0.024,-0.498,-0.266,-0.189, 0.095
2016-03-04-07,736393.2917,-0.375, 0.117,-0.517,-0.105,-0.141, 0.150,-0.393,-0.011,-0.455,-0.268,-0.182, 0.096
2016-03-04-08,736393.3333,-0.350, 0.116,-0.482, 0.002,-0.116, 0.096,-0.369,-0.004,-0.456,-0.155,-0.141, 0.054
2016-03-04-09, 736393.375,-0.328, 0.110,-0.441,-0.003,-0.121, 0.077,-0.346,-0.002,-0.416,-0.147,-0.139, 0.034
2016-03-04-10,736393.4167,-0.321, 0.126,-0.424,-0.029,-0.109, 0.082,-0.345, 0.015,-0.392,-0.165,-0.130, 0.042
2016-03-04-11,736393.4583,-0.298, 0.126,-0.400, 0.081,-0.072, 0.016,-0.323, 0.022,-0.405,-0.054,-0.074,-0.008
2016-03-04-12,   736393.5,-0.305, 0.137,-0.395, 0.104,-0.070, 0.007,-0.333, 0.031,-0.407,-0.030,-0.069,-0.017
2016-03-04-13,736393.5417,-0.323, 0.162,-0.427, 0.124,-0.071, 0.014,-0.358, 0.048,-0.444,-0.022,-0.072,-0.010
2016-03-04-14,736393.5833,-0.339, 0.173,-0.473, 0.163,-0.110, 0.048,-0.377, 0.053,-0.500,-0.000,-0.120, 0.009
2016-03-04-15, 736393.625,-0.366, 0.164,-0.532, 0.174,-0.131, 0.071,-0.399, 0.036,-0.559,-0.009,-0.147, 0.024
2016-03-04-16,736393.6667,-0.382, 0.158,-0.564, 0.184,-0.145, 0.089,-0.413, 0.025,-0.593,-0.010,-0.166, 0.037
2016-03-04-17,736393.7083,-0.390, 0.154,-0.623, 0.267,-0.109, 0.030,-0.419, 0.018,-0.676, 0.049,-0.113,-0.007
2016-03-04-18,  736393.75,-0.370, 0.150,-0.642, 0.354,-0.135, 0.011,-0.399, 0.021,-0.722, 0.126,-0.132,-0.034
2016-03-04-19,736393.7917,-0.382, 0.183,-0.648, 0.388,-0.161, 0.032,-0.421, 0.049,-0.739, 0.156,-0.162,-0.022
2016-03-04-20,736393.8333,-0.429, 0.201,-0.568, 0.292,-0.193, 0.101,-0.472, 0.051,-0.633, 0.091,-0.215, 0.033
2016-03-04-21, 736393.875,-0.451, 0.198,-0.591, 0.279,-0.194, 0.096,-0.490, 0.040,-0.649, 0.071,-0.214, 0.028
2016-03-04-22,736393.9167,-0.443, 0.200,-0.580, 0.251,-0.187, 0.071,-0.484, 0.045,-0.630, 0.048,-0.200, 0.006
2016-03-04-23,736393.9583,-0.477, 0.228,-0.520, 0.098,-0.190, 0.136,-0.525, 0.061,-0.524,-0.077,-0.224, 0.067
2016-03-05-00,     736394,-0.454, 0.224,-0.601, 0.258,-0.156, 0.040,-0.502, 0.064,-0.652, 0.049,-0.160,-0.013
2016-03-05-01,736394.0417,-0.457, 0.200,-0.583, 0.225,-0.175, 0.056,-0.497, 0.040,-0.624, 0.023,-0.184,-0.004
2016-03-05-02,736394.0833,-0.449, 0.207,-0.531, 0.200,-0.181, 0.074,-0.492, 0.050,-0.567, 0.017,-0.195, 0.011
2016-03-05-03, 736394.125,-0.439, 0.196,-0.424, 0.119,-0.205, 0.159,-0.479, 0.043,-0.439,-0.025,-0.245, 0.083
2016-03-05-04,736394.1667,-0.432, 0.173,-0.487, 0.098,-0.174, 0.123,-0.465, 0.023,-0.493,-0.066,-0.204, 0.060
2016-03-05-05,736394.2083,-0.425, 0.181,-0.492, 0.106,-0.144, 0.075,-0.461, 0.033,-0.500,-0.060,-0.161, 0.024
2016-03-05-06,  736394.25,-0.438, 0.186,-0.493, 0.060,-0.137, 0.077,-0.475, 0.033,-0.485,-0.103,-0.155, 0.028
2016-03-05-07,736394.2917,-0.433, 0.198,-0.489, 0.030,-0.149, 0.096,-0.474, 0.046,-0.472,-0.131,-0.172, 0.043
2016-03-05-08,736394.3333,-0.442, 0.211,-0.471, 0.014,-0.182, 0.125,-0.487, 0.056,-0.449,-0.140,-0.213, 0.059
2016-03-05-09, 736394.375,-0.414, 0.195,-0.496, 0.066,-0.138, 0.070,-0.455, 0.049,-0.491,-0.099,-0.154, 0.021
2016-03-05-10,736394.4167,-0.400, 0.195,-0.528, 0.112,-0.124, 0.036,-0.442, 0.054,-0.535,-0.065,-0.129,-0.006
2016-03-05-11,736394.4583,-0.395, 0.187,-0.524, 0.158,-0.156, 0.018,-0.434, 0.048,-0.547,-0.021,-0.153,-0.034
2016-03-05-12,   736394.5,-0.408, 0.214,-0.523, 0.136,-0.195, 0.070,-0.456, 0.069,-0.539,-0.042,-0.207, 0.003
2016-03-05-13,736394.5417,-0.417, 0.203,-0.543, 0.197,-0.158, 0.034,-0.460, 0.056,-0.578, 0.009,-0.161,-0.020
2016-03-05-14,736394.5833,-0.418, 0.178,-0.561, 0.165,-0.145, 0.048,-0.453, 0.032,-0.584,-0.027,-0.153,-0.002
2016-03-05-15, 736394.625,-0.389, 0.137,-0.569, 0.195,-0.122, 0.014,-0.413, 0.003,-0.602,-0.001,-0.120,-0.026
2016-03-05-16,736394.6667,-0.382, 0.125,-0.578, 0.238,-0.150, 0.013,-0.402,-0.006,-0.624, 0.036,-0.146,-0.036
2016-03-05-17,736394.7083,-0.415, 0.174,-0.533, 0.203,-0.170, 0.046,-0.449, 0.029,-0.571, 0.018,-0.176,-0.012
2016-03-05-18,  736394.75,-0.427, 0.201,-0.505, 0.153,-0.170, 0.049,-0.469, 0.051,-0.527,-0.020,-0.177,-0.009
2016-03-05-19,736394.7917,-0.422, 0.200,-0.458, 0.065,-0.202, 0.095,-0.464, 0.052,-0.454,-0.088,-0.222, 0.024
2016-03-05-20,736394.8333,-0.423, 0.209,-0.421,-0.034,-0.223, 0.147,-0.468, 0.060,-0.387,-0.169,-0.258, 0.066
2016-03-05-21, 736394.875,-0.429, 0.197,-0.542, 0.137,-0.192, 0.086,-0.470, 0.047,-0.557,-0.047,-0.209, 0.019
2016-03-05-22,736394.9167,-0.433, 0.200,-0.582, 0.273,-0.173, 0.038,-0.474, 0.048,-0.639, 0.069,-0.176,-0.021
2016-03-05-23,736394.9583,-0.432, 0.206,-0.628, 0.290,-0.167, 0.013,-0.475, 0.054,-0.688, 0.070,-0.162,-0.042
2016-03-06-00,     736395,-0.431, 0.214,-0.598, 0.205,-0.173, 0.039,-0.477, 0.062,-0.632,-0.001,-0.176,-0.020
2016-03-06-01,736395.0417,-0.441, 0.240,-0.535, 0.178,-0.187, 0.069,-0.495, 0.083,-0.564,-0.006,-0.199, 0.004
2016-03-06-02,736395.0833,-0.453, 0.250,-0.494, 0.144,-0.203, 0.093,-0.509, 0.089,-0.515,-0.024,-0.223, 0.022
2016-03-06-03, 736395.125,-0.462, 0.247,-0.635, 0.272,-0.205, 0.078,-0.517, 0.083,-0.689, 0.050,-0.219, 0.007
2016-03-06-04,736395.1667,-0.520, 0.298,-0.745, 0.306,-0.209, 0.110,-0.589, 0.113,-0.804, 0.047,-0.233, 0.036
2016-03-06-05,736395.2083,-0.505, 0.282,-0.736, 0.353,-0.202, 0.097,-0.569, 0.103,-0.810, 0.094,-0.222, 0.026
2016-03-06-06,  736395.25,-0.527, 0.242,-0.781, 0.327,-0.211, 0.088,-0.577, 0.058,-0.845, 0.055,-0.228, 0.015
2016-03-06-07,736395.2917,-0.572, 0.254,-0.817, 0.232,-0.213, 0.099,-0.623, 0.054,-0.848,-0.047,-0.234, 0.025
2016-03-06-08,736395.3333,-0.542, 0.232,-0.826, 0.221,-0.176, 0.091,-0.589, 0.043,-0.853,-0.059,-0.196, 0.029
2016-03-06-09, 736395.375,-0.517, 0.206,-0.823, 0.176,-0.166, 0.095,-0.556, 0.027,-0.835,-0.101,-0.188, 0.035
2016-03-06-10,736395.4167,-0.488, 0.186,-0.804, 0.169,-0.157, 0.084,-0.522, 0.017,-0.816,-0.102,-0.176, 0.028
2016-03-06-11,736395.4583,-0.436, 0.144,-0.789, 0.205,-0.129, 0.067,-0.459,-0.006,-0.813,-0.064,-0.144, 0.021
2016-03-06-12,   736395.5,-0.442, 0.128,-0.767, 0.116,-0.150, 0.101,-0.460,-0.023,-0.763,-0.140,-0.175, 0.046
2016-03-06-13,736395.5417,-0.420, 0.111,-0.748, 0.066,-0.128, 0.090,-0.433,-0.032,-0.729,-0.181,-0.150, 0.044
2016-03-06-14,736395.5833,-0.367, 0.067,-0.716, 0.178,-0.110, 0.050,-0.368,-0.056,-0.735,-0.065,-0.121, 0.011
2016-03-06-15, 736395.625,-0.387, 0.068,-0.717, 0.066,-0.116, 0.058,-0.389,-0.062,-0.699,-0.171,-0.128, 0.017
2016-03-06-16,736395.6667,-0.394, 0.064,-0.746, 0.013,-0.125, 0.073,-0.394,-0.067,-0.710,-0.231,-0.142, 0.028
2016-03-06-17,736395.7083,-0.405, 0.054,-0.763,-0.095,-0.120, 0.105,-0.401,-0.080,-0.691,-0.339,-0.148, 0.061
2016-03-06-18,  736395.75,-0.369, 0.027,-0.750,-0.069,-0.096, 0.066,-0.358,-0.094,-0.687,-0.309,-0.113, 0.032
2016-03-06-19,736395.7917,-0.357, 0.021,-0.717,-0.052,-0.091, 0.060,-0.344,-0.096,-0.661,-0.283,-0.105, 0.027
2016-03-06-20,736395.8333,-0.323, 0.011,-0.714,-0.010,-0.067, 0.027,-0.309,-0.095,-0.672,-0.242,-0.072, 0.003
2016-03-06-21, 736395.875,-0.289, 0.002,-0.623,-0.008,-0.067, 0.037,-0.274,-0.093,-0.587,-0.211,-0.075, 0.013
2016-03-06-22,736395.9167,-0.248,-0.006,-0.551, 0.041,-0.063, 0.031,-0.232,-0.086,-0.534,-0.140,-0.069, 0.009
2016-03-06-23,736395.9583,-0.213,-0.011,-0.447, 0.079,-0.072, 0.039,-0.198,-0.080,-0.449,-0.071,-0.081, 0.014
2016-03-07-00,     736396,-0.182,-0.011,-0.398, 0.143,-0.064, 0.048,-0.168,-0.069,-0.422, 0.006,-0.076, 0.025
2016-03-07-01,736396.0417,-0.174,-0.004,-0.370, 0.151,-0.064, 0.050,-0.163,-0.060,-0.399, 0.022,-0.077, 0.026
2016-03-07-02,736396.0833,-0.184, 0.021,-0.302, 0.071,-0.077, 0.082,-0.181,-0.040,-0.309,-0.031,-0.100, 0.052
2016-03-07-03, 736396.125,-0.206, 0.047,-0.243,-0.040,-0.106, 0.125,-0.210,-0.023,-0.217,-0.117,-0.140, 0.084
2016-03-07-04,736396.1667,-0.217, 0.073,-0.286, 0.080,-0.113, 0.131,-0.229,-0.001,-0.297,-0.017,-0.149, 0.087
2016-03-07-05,736396.2083,-0.248, 0.097,-0.304, 0.085,-0.121, 0.142,-0.266, 0.011,-0.315,-0.019,-0.160, 0.095
2016-03-07-06,  736396.25,-0.257, 0.127,-0.343, 0.148,-0.116, 0.131,-0.284, 0.036,-0.373, 0.028,-0.153, 0.086
2016-03-07-07,736396.2917,-0.298, 0.138,-0.320,-0.075,-0.129, 0.161,-0.327, 0.034,-0.278,-0.175,-0.174, 0.111
2016-03-07-08,736396.3333,-0.310, 0.158,-0.366,-0.115,-0.116, 0.145,-0.344, 0.048,-0.308,-0.228,-0.157, 0.099
2016-03-07-09, 736396.375,-0.307, 0.155,-0.385,-0.078,-0.091, 0.097,-0.341, 0.047,-0.339,-0.199,-0.117, 0.062
2016-03-07-10,736396.4167,-0.294, 0.139,-0.390,-0.017,-0.079, 0.054,-0.323, 0.036,-0.364,-0.143,-0.093, 0.025
2016-03-07-11,736396.4583,-0.292, 0.138,-0.391,-0.012,-0.074, 0.016,-0.321, 0.035,-0.366,-0.138,-0.075,-0.009
2016-03-07-12,   736396.5,-0.283, 0.126,-0.375, 0.031,-0.079, 0.002,-0.309, 0.027,-0.365,-0.093,-0.075,-0.024
2016-03-07-13,736396.5417,-0.281, 0.117,-0.352,-0.043,-0.110, 0.037,-0.304, 0.019,-0.319,-0.155,-0.116,-0.001
2016-03-07-14,736396.5833,-0.281, 0.102,-0.351,-0.058,-0.105, 0.058,-0.299, 0.005,-0.313,-0.169,-0.118, 0.020
2016-03-07-15, 736396.625,-0.268, 0.086,-0.344, 0.001,-0.096, 0.023,-0.282,-0.006,-0.326,-0.111,-0.098,-0.009
2016-03-07-16,736396.6667,-0.271, 0.075,-0.343,-0.057,-0.098, 0.049,-0.281,-0.017,-0.306,-0.165,-0.109, 0.014
2016-03-07-17,736396.7083,-0.280, 0.096,-0.356,-0.100,-0.122, 0.089,-0.296,-0.000,-0.304,-0.210,-0.144, 0.044
2016-03-07-18,  736396.75,-0.281, 0.091,-0.380,-0.034,-0.130, 0.072,-0.295,-0.006,-0.348,-0.156,-0.146, 0.026
2016-03-07-19,736396.7917,-0.274, 0.077,-0.401, 0.087,-0.103, 0.028,-0.284,-0.017,-0.407,-0.048,-0.107,-0.007
2016-03-07-20,736396.8333,-0.278, 0.084,-0.388, 0.136,-0.113, 0.033,-0.290,-0.011,-0.411, 0.002,-0.117,-0.006
2016-03-07-21, 736396.875,-0.279, 0.101,-0.397, 0.168,-0.107, 0.037,-0.297, 0.004,-0.430, 0.029,-0.114, 0.000
2016-03-07-22,736396.9167,-0.281, 0.096,-0.399, 0.217,-0.107, 0.009,-0.297,-0.001,-0.448, 0.075,-0.104,-0.026
2016-03-07-23,736396.9583,-0.296, 0.135,-0.411, 0.225,-0.126, 0.013,-0.324, 0.032,-0.462, 0.079,-0.124,-0.029
2016-03-08-00,     736397,-0.341, 0.185,-0.464, 0.175,-0.145, 0.040,-0.382, 0.064,-0.496, 0.015,-0.150,-0.009
2016-03-08-01,736397.0417,-0.364, 0.180,-0.431, 0.138,-0.156, 0.052,-0.403, 0.052,-0.452,-0.010,-0.165,-0.002
2016-03-08-02,736397.0833,-0.379, 0.189,-0.410, 0.083,-0.180, 0.070,-0.420, 0.056,-0.414,-0.055,-0.193, 0.008
2016-03-08-03, 736397.125,-0.387, 0.207,-0.484, 0.113,-0.190, 0.053,-0.433, 0.070,-0.494,-0.051,-0.196,-0.012
2016-03-08-04,736397.1667,-0.395, 0.217,-0.489, 0.139,-0.206, 0.037,-0.444, 0.077,-0.508,-0.027,-0.206,-0.032
2016-03-08-05,736397.2083,-0.399, 0.229,-0.513, 0.149,-0.206, 0.028,-0.452, 0.087,-0.533,-0.026,-0.204,-0.041
2016-03-08-06,  736397.25,-0.401, 0.235,-0.531, 0.164,-0.205, 0.024,-0.455, 0.092,-0.555,-0.018,-0.202,-0.045
2016-03-08-07,736397.2917,-0.420, 0.267,-0.485, 0.091,-0.222, 0.072,-0.484, 0.116,-0.489,-0.072,-0.233,-0.005
2016-03-08-08,736397.3333,-0.424, 0.260,-0.499, 0.131,-0.250, 0.068,-0.485, 0.107,-0.515,-0.039,-0.258,-0.017
2016-03-08-09, 736397.375,-0.437, 0.272,-0.465, 0.090,-0.269, 0.106,-0.502, 0.115,-0.469,-0.066,-0.289, 0.013
2016-03-08-10,736397.4167,-0.421, 0.241,-0.560, 0.190,-0.243, 0.044,-0.477, 0.091,-0.591,-0.003,-0.244,-0.037
2016-03-08-11,736397.4583,-0.407, 0.212,-0.579, 0.078,-0.223, 0.061,-0.453, 0.068,-0.573,-0.114,-0.231,-0.015
2016-03-08-12,   736397.5,-0.382, 0.185,-0.576, 0.136,-0.206, 0.022,-0.421, 0.050,-0.589,-0.059,-0.202,-0.046
2016-03-08-13,736397.5417,-0.362, 0.149,-0.601, 0.151,-0.179,-0.008,-0.391, 0.024,-0.617,-0.053,-0.166,-0.066
2016-03-08-14,736397.5833,-0.366, 0.144,-0.598,-0.032,-0.193, 0.042,-0.393, 0.017,-0.555,-0.225,-0.196,-0.023
2016-03-08-15, 736397.625,-0.379, 0.132,-0.574, 0.093,-0.188, 0.043,-0.401, 0.001,-0.573,-0.099,-0.192,-0.021
2016-03-08-16,736397.6667,-0.368, 0.133,-0.597, 0.095,-0.175, 0.024,-0.391, 0.006,-0.595,-0.104,-0.173,-0.035
2016-03-08-17,736397.7083,-0.379, 0.144,-0.588, 0.122,-0.181, 0.037,-0.405, 0.013,-0.595,-0.076,-0.184,-0.024
2016-03-08-18,  736397.75,-0.408, 0.189,-0.590, 0.057,-0.204, 0.087,-0.448, 0.045,-0.576,-0.139,-0.222, 0.016
2016-03-08-19,736397.7917,-0.410, 0.192,-0.561, 0.088,-0.197, 0.080,-0.450, 0.048,-0.559,-0.099,-0.212, 0.011
2016-03-08-20,736397.8333,-0.402, 0.206,-0.527, 0.044,-0.199, 0.089,-0.447, 0.064,-0.513,-0.130,-0.217, 0.019
2016-03-08-21, 736397.875,-0.409, 0.188,-0.532, 0.072,-0.209, 0.088,-0.448, 0.045,-0.527,-0.105,-0.226, 0.015
2016-03-08-22,736397.9167,-0.400, 0.175,-0.571, 0.136,-0.197, 0.059,-0.435, 0.035,-0.585,-0.057,-0.206,-0.008
2016-03-08-23,736397.9583,-0.394, 0.170,-0.566, 0.142,-0.205, 0.056,-0.428, 0.033,-0.581,-0.050,-0.212,-0.013
2016-03-09-00,     736398,-0.387, 0.170,-0.584, 0.162,-0.191, 0.036,-0.421, 0.035,-0.605,-0.037,-0.192,-0.028
2016-03-09-01,736398.0417,-0.395, 0.198,-0.542, 0.103,-0.204, 0.059,-0.438, 0.058,-0.546,-0.079,-0.212,-0.011
2016-03-09-02,736398.0833,-0.391, 0.195,-0.588, 0.166,-0.212, 0.037,-0.433, 0.057,-0.610,-0.035,-0.212,-0.034
