simul,total obs,diff/month
18_justwinds0deg_CD01_konsole.csv,6805,0.6779957733005001
18_varydeg_CD004_konsole.csv,7541,0.8562027003658689
18_0deg_CD01_konsole.csv,5607,0.9700987376225614
18_0deg_cay1_konsole.csv,6991,0.9759500194258276
18_0deg_CD004_konsole.csv,7084,0.99569924720191
18_varydeg_CD01_konsole.csv,6473,0.9959581386121266
18_varydeg_cay05_konsole.csv,7345,1.1056842777641578
18_0deg_cay05_konsole.csv,6385,1.124488754531551
18_randeg_CD01_konsole.csv,5919,1.1817555167880254
18_randeg_CD015_konsole.csv,4634,1.2636492932424812
18_varydeg_cay1_konsole.csv,7237,1.28720803213579
18_randeg_CD004_konsole.csv,6980,1.3110157509155318
18_0deg_CD015_konsole.csv,4082,1.3349387177389176
18_varydeg_CD015_konsole.csv,4588,1.3789345202415906
18_0deg_CD02_konsole.csv,2726,1.3878468685514402
18_randeg_cay1_konsole.csv,7066,1.3987294761246334
18_randeg_cay05_konsole.csv,6984,1.4200348117680062
18_justwinds_randeg_CD01_konsole.csv,6241,1.422634838842123
18_0deg_CD04_konsole.csv,916,1.4302580546251624
18_varydeg_CD02_konsole.csv,990,1.4474240993310945
18_varydeg_CD04_konsole.csv,1031,1.4959587188841788
18_varydeg_CD03_konsole.csv,1004,1.5469234400561893
18_randeg_CD02_konsole.csv,784,1.7714716630738228
18_advection_konsole.csv,5648,1.7790508927039326
18_0deg_CD03_konsole.csv,1456,1.828541863097411
18_randeg_CD04_konsole.csv,766,1.867610863561502
18_randeg_CD03_konsole.csv,1612,1.9515913551259436
