Date_UTC_Time,Sea_Level,Water_Temperature,Air_Temperature,Barometric_Pressure,Residuals,Adjusted_Residuals,Wind_Direction,Wind_Gust,Wind_Speed,Port_Kembla
01-Jan-2017 00:00,1.766,18.6,21.8,1005.7,0.041,-0.038,35,4.6,2.6,
01-Jan-2017 01:00,1.681,18.7,21.8,1005.8,0.043,-0.033,30,4.2,3,
01-Jan-2017 02:00,1.454,18.9,22.3,1005.3,0.051,-0.023,26,3.4,1.5,
01-Jan-2017 03:00,1.135,19,21.7,1005.2,0.055,-0.024,15,2.9,2,
01-Jan-2017 04:00,0.803,19.5,21.8,1005,0.056,-0.024,356,4.4,1.6,
01-Jan-2017 05:00,0.54,19.8,21.5,1004.9,0.068,-0.014,15,5.7,4.1,
01-Jan-2017 06:00,0.389,20.6,21.1,1004,0.084,-0.001,25,8,4.1,
01-Jan-2017 07:00,0.367,20.6,21.1,1004.2,0.089,-0.003,328,5.4,1.4,
01-Jan-2017 08:00,0.488,20.2,21.4,1003.8,0.093,0.002,335,4.4,2.1,
01-Jan-2017 09:00,0.699,19.9,21.2,1004.6,0.085,-0.008,5,4.6,2,
01-Jan-2017 10:00,0.958,19.8,21.1,1004.9,0.091,0.005,22,4.5,3.5,
01-Jan-2017 11:00,1.182,19.7,22.7,1005.4,0.088,0.006,27,7,5.1,
01-Jan-2017 12:00,1.315,19.9,21.4,1005.8,0.078,0.001,33,7.4,2.8,
01-Jan-2017 13:00,1.341,19.8,21.6,1005.4,0.078,0.003,29,5.4,1.9,
01-Jan-2017 14:00,1.239,19.7,22,1005.1,0.078,0,25,5.8,3,
01-Jan-2017 15:00,1.044,19.6,23.5,1004.7,0.073,-0.009,1,5,3,
01-Jan-2017 16:00,0.815,19.6,21.1,1006.1,0.057,-0.026,198,9.6,3.6,
01-Jan-2017 17:00,0.65,19.3,21.1,1006,0.062,-0.009,208,7.9,4,
01-Jan-2017 18:00,0.569,19.1,21.3,1006.8,0.063,-0.008,220,8.8,5.7,
01-Jan-2017 19:00,0.601,18.7,20.8,1007.7,0.058,-0.005,223,9.9,7.2,
01-Jan-2017 20:00,0.773,18.7,20.8,1008.4,0.067,0.012,221,10.6,5.5,
01-Jan-2017 21:00,1.034,18.5,20.8,1009.5,0.07,0.023,218,11.2,5.7,
01-Jan-2017 22:00,1.326,18.3,21.1,1009.8,0.074,0.037,218,10.6,5.5,
01-Jan-2017 23:00,1.574,18.4,21.2,1010,0.071,0.037,218,9.8,5.2,
02-Jan-2017 00:00,1.723,18.3,21.8,1010.5,0.064,0.032,194,9.3,3.8,
02-Jan-2017 01:00,1.734,18.2,22,1011.3,0.055,0.028,194,8.4,3.6,
02-Jan-2017 02:00,1.595,18.1,21.9,1011.6,0.051,0.032,194,7.8,3.8,
02-Jan-2017 03:00,1.32,18.3,22,1011.6,0.039,0.023,159,8.8,3.6,
02-Jan-2017 04:00,0.992,18.2,22.4,1011.5,0.035,0.018,160,8.1,3.7,
02-Jan-2017 05:00,0.682,18.3,22.1,1011.6,0.033,0.016,139,6.9,5,
02-Jan-2017 06:00,0.444,18.6,21.9,1011.8,0.031,0.015,149,7.7,3.4,
02-Jan-2017 07:00,0.325,18.6,21,1012.4,0.032,0.018,166,7.8,3.8,
02-Jan-2017 08:00,0.341,18.6,19.8,1013.7,0.028,0.021,203,6.8,3.2,
02-Jan-2017 09:00,0.487,18.7,19.5,1014.3,0.024,0.029,286,7.6,0.8,
02-Jan-2017 10:00,0.709,18.7,20.1,1015.1,0.016,0.028,232,4.8,1.5,
02-Jan-2017 11:00,0.952,19.1,20.2,1015.4,0.011,0.03,225,5.9,3.7,
02-Jan-2017 12:00,1.148,19.3,19.2,1015.8,0.001,0.023,222,6.7,4.3,
02-Jan-2017 13:00,1.264,19.4,19.4,1016,0.001,0.026,238,6,4.1,
02-Jan-2017 14:00,1.256,19.5,18.7,1016,-0.001,0.026,250,6.4,1.9,
02-Jan-2017 15:00,1.128,19.5,18.7,1016.2,-0.005,0.023,228,5.9,2.1,
02-Jan-2017 16:00,0.933,19.5,19.2,1015.9,-0.005,0.024,232,6.4,3.7,
02-Jan-2017 17:00,0.75,19.4,18.7,1016.1,0.011,0.038,223,7.6,4.2,
02-Jan-2017 18:00,0.606,19.4,19.5,1016.3,0.016,0.045,242,7,4.4,
02-Jan-2017 19:00,0.547,19.4,19.3,1016.7,0.014,0.045,224,7.3,4.9,
02-Jan-2017 20:00,0.611,19.3,19.6,1017.3,0.016,0.051,234,7.8,4.3,
02-Jan-2017 21:00,0.794,19.1,19.9,1017.6,0.02,0.061,218,8.8,5.6,
02-Jan-2017 22:00,1.054,19.1,21,1018,0.026,0.07,211,9.7,4.9,
02-Jan-2017 23:00,1.315,19.1,21.7,1018.4,0.021,0.069,204,9.7,4.5,
03-Jan-2017 00:00,1.529,19,22,1018.8,0.019,0.071,185,9,3.9,
03-Jan-2017 01:00,1.64,19.1,22.3,1018.9,0.016,0.072,180,9.4,5.1,
03-Jan-2017 02:00,1.623,19.1,21.8,1018.7,0.023,0.079,200,8.7,5,
03-Jan-2017 03:00,1.446,19.3,21.9,1018.5,0.012,0.066,196,8.8,4.2,
03-Jan-2017 04:00,1.177,19.3,22.1,1018.5,0.013,0.065,179,9,4.1,
03-Jan-2017 05:00,0.876,19.3,20.9,1018.4,0.019,0.072,205,8.7,3.3,
03-Jan-2017 06:00,0.607,19.3,21.5,1018.3,0.027,0.078,156,9,3.5,
03-Jan-2017 07:00,0.419,19.3,20.2,1018.4,0.036,0.086,136,9.8,7.4,
