Date_UTC_Time,Sea_Level,Water_Temperature,Air_Temperature,Barometric_Pressure,Residuals,Adjusted_Residuals,Wind_Direction,Wind_Gust,Wind_Speed,Port_Kembla
01-Jan-2018 00:00,1.405,21.6,23,1005.7,0.197,0.129,168,10.9,6,
01-Jan-2018 01:00,0.989,21.6,23.5,1005.6,0.192,0.118,175,11.4,5.3,
01-Jan-2018 02:00,0.633,21.4,23.6,1005.9,0.193,0.117,190,10.3,4.9,
01-Jan-2018 03:00,0.401,21.6,23.7,1005.4,0.195,0.122,181,10.3,4.2,
01-Jan-2018 04:00,0.331,21.3,23.4,1005.2,0.191,0.113,177,10,4.1,
01-Jan-2018 05:00,0.45,21.2,23.3,1004.9,0.195,0.115,175,9.9,3.5,
01-Jan-2018 06:00,0.707,21.3,23.2,1004.6,0.194,0.111,178,7.9,3,
01-Jan-2018 07:00,1.023,21.2,23.5,1004.9,0.189,0.103,172,6.9,3,
01-Jan-2018 08:00,1.317,21.2,23,1005.5,0.184,0.101,176,5.9,3.3,
01-Jan-2018 09:00,1.503,21.4,22.5,1006.2,0.168,0.092,165,5.7,2.9,
01-Jan-2018 10:00,1.548,21.3,22.1,1006.6,0.161,0.091,188,5.2,2.1,
01-Jan-2018 11:00,1.422,21.3,21.8,1007.2,0.15,0.084,212,5.3,2.6,
01-Jan-2018 12:00,1.168,21.4,21.8,1007.6,0.141,0.081,239,4.7,2.8,
01-Jan-2018 13:00,0.874,21.7,21.7,1007.5,0.142,0.086,260,3.7,2.7,
01-Jan-2018 14:00,0.626,22.2,21,1007,0.156,0.098,174,3.9,1.2,
01-Jan-2018 15:00,0.48,22.4,20.6,1006.3,0.163,0.1,258,2.3,1.1,
01-Jan-2018 16:00,0.495,22.6,20.2,1005.6,0.175,0.105,221,2,0.5,
01-Jan-2018 17:00,0.693,22.2,19.7,1005.3,0.196,0.12,224,2.1,1.4,
01-Jan-2018 18:00,1.03,21.8,19.5,1005.3,0.207,0.128,259,2.5,1.8,
01-Jan-2018 19:00,1.423,21.5,19.3,1005.6,0.2,0.121,239,1.9,1.5,
01-Jan-2018 20:00,1.791,21.4,19.9,1006.1,0.189,0.113,263,1.9,0.5,
01-Jan-2018 21:00,2.062,21.4,21.8,1006.7,0.183,0.112,195,2.5,0.9,
01-Jan-2018 22:00,2.16,21.4,21.6,1006.9,0.175,0.11,192,4.9,2.5,
01-Jan-2018 23:00,2.046,21.4,21.6,1006.7,0.164,0.101,114,3.6,2.2,
02-Jan-2018 00:00,1.746,21.4,22.1,1006.1,0.159,0.093,116,3.5,2.6,
02-Jan-2018 01:00,1.333,21.8,22.1,1005.6,0.163,0.092,82,5.4,3.3,
02-Jan-2018 02:00,0.894,22.3,22.2,1004.8,0.167,0.09,92,5.2,3.2,
02-Jan-2018 03:00,0.526,22.5,22.5,1004,0.173,0.087,74,5.3,3.6,
02-Jan-2018 04:00,0.296,22.2,22.7,1004,0.177,0.086,67,5.3,3,
02-Jan-2018 05:00,0.256,22.3,22.8,1002.8,0.188,0.094,49,6.2,4.6,
02-Jan-2018 06:00,0.413,22.4,22.9,1002.5,0.201,0.097,60,5.7,2.6,
02-Jan-2018 07:00,0.707,22.9,22.8,1002.6,0.208,0.101,60,9.9,5.1,
02-Jan-2018 08:00,1.049,22.4,22.7,1004,0.209,0.105,16,7.8,6,
02-Jan-2018 09:00,1.371,22.3,22.4,1004,0.221,0.129,22,7.3,3.9,
02-Jan-2018 10:00,1.57,22.3,22.8,1003.9,0.218,0.126,357,5.6,3.1,
02-Jan-2018 11:00,1.615,22.4,23.2,1004.1,0.221,0.128,318,5.1,2.3,
02-Jan-2018 12:00,1.465,22.3,23.1,1004.9,0.203,0.113,324,8.1,3.3,
02-Jan-2018 13:00,1.19,22.4,22.5,1006.1,0.186,0.103,203,6.4,2.7,
02-Jan-2018 14:00,0.887,22.2,20,1007.1,0.181,0.111,169,14.2,5.3,
02-Jan-2018 15:00,0.629,22.1,20.2,1007.2,0.177,0.116,198,9.3,4,
