Month,Observed,Likely,Noone,% of None
Jan,9,10,10,34.48275862068966
Feb,7,7,13,48.148148148148145
Mar,6,4,21,67.74193548387096
Apr,0,3,26,89.65517241379311
May,2,0,28,93.33333333333333
Jun,2,0,27,93.10344827586206
Jul,0,0,27,100.0
Aug,0,0,30,100.0
Sep,1,0,29,96.66666666666667
Oct,3,4,19,73.07692307692308
Nov,3,8,18,62.06896551724138
Dec,0,4,25,86.20689655172414
