Month,Observed,Likely,Noone,% of None
Jan,3,3,22,78.57142857142857
Feb,3,4,18,72.0
Mar,2,7,21,70.0
Apr,1,2,23,88.46153846153847
May,0,0,0,0.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,16,100.0
Oct,0,1,29,96.66666666666667
Nov,1,2,27,90.0
Dec,0,2,29,93.54838709677419
