Month,Observed,Likely,Noone,% of None
Jan,0,0,1,100.0
Feb,0,0,0,0.0
Mar,0,0,5,100.0
Apr,0,0,0,0.0
May,0,0,0,0.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,0,0.0
Oct,0,0,26,100.0
Nov,0,0,18,100.0
Dec,1,0,26,96.29629629629629
