Month,Observed,Likely,Noone,% of None
Jan,0,0,0,0.0
Feb,0,0,0,0.0
Mar,0,0,0,0.0
Apr,0,0,0,0.0
May,0,0,6,100.0
Jun,0,0,28,100.0
Jul,0,0,27,100.0
Aug,0,0,28,100.0
Sep,0,0,26,100.0
Oct,5,0,25,83.33333333333333
Nov,6,0,22,78.57142857142857
Dec,5,0,24,82.75862068965517
