Month,Observed,Likely,Noone,% of None
Jan,3,8,18,62.06896551724138
Feb,4,2,20,76.92307692307692
Mar,4,1,24,82.75862068965517
Apr,3,2,25,83.33333333333333
May,0,1,26,96.29629629629629
Jun,4,0,26,86.66666666666667
Jul,1,0,25,96.15384615384616
Aug,0,0,30,100.0
Sep,1,0,29,96.66666666666667
Oct,3,1,26,86.66666666666667
Nov,1,3,26,86.66666666666667
Dec,4,5,21,70.0
