Month,Observed,Likely,Noone,% of None
Jan,4,11,13,46.4285714286
Feb,8,2,14,58.3333333333
Mar,1,3,26,86.6666666667
Apr,1,2,24,88.8888888889
May,1,0,30,96.7741935484
Jun,0,1,26,96.2962962963
Jul,0,0,30,100
Aug,0,0,30,100
Sep,9,1,19,65.5172413793
Oct,3,3,23,79.3103448276
Nov,2,3,24,82.7586206897
Dec,11,5,13,44.8275862069
