Month,Observed,Likely,Noone,% of None
Jan,0,0,0,0.0
Feb,0,0,0,0.0
Mar,0,0,28,100.0
Apr,0,5,23,82.14285714285714
May,0,1,26,96.29629629629629
Jun,0,0,28,100.0
Jul,0,0,27,100.0
Aug,0,0,28,100.0
Sep,0,0,26,100.0
Oct,3,0,25,89.28571428571429
Nov,6,4,18,64.28571428571429
Dec,4,4,20,71.42857142857143
