Month,Many,Some,Likely,None,% of None
Jan,0,2,3,23,82.14285714285714
Feb,0,1,2,21,87.5
Mar,0,0,1,30,96.7741935483871
Apr,0,0,0,27,100.0
May,0,0,0,0,0.0
Jun,0,0,0,0,0.0
Jul,0,0,0,0,0.0
Aug,0,0,0,0,0.0
Sep,0,0,0,0,0.0
Oct,0,0,0,0,0.0
Nov,0,0,0,0,0.0
Dec,0,0,0,0,0.0
