Month,Observed,Likely,Noone,% of None
Jan,1,2,29,90.625
Feb,2,3,21,80.76923076923077
Mar,0,2,27,93.10344827586206
Apr,0,1,26,96.29629629629629
May,0,0,0,0.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,2,100.0
Oct,2,2,26,86.66666666666667
Nov,1,0,28,96.55172413793103
Dec,3,1,26,86.66666666666667
