Month,Observed,Likely,None,% of None
Jan,6,9,16,51.61290322580645
Feb,4,3,20,74.07407407407408
Mar,3,1,27,87.09677419354838
Apr,0,1,29,96.66666666666667
May,0,0,22,100.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,0,0.0
Oct,0,0,0,0.0
Nov,0,0,0,0.0
Dec,0,0,0,0.0
