Month,Observed,Likely,Noone,% of None
Jan,0,0,0,0.0
Feb,0,0,0,0.0
Mar,0,0,0,0.0
Apr,0,0,0,0.0
May,0,0,8,100.0
Jun,0,0,29,100.0
Jul,0,0,30,100.0
Aug,0,0,31,100.0
Sep,0,0,27,100.0
Oct,0,0,30,100.0
Nov,0,0,28,100.0
Dec,2,0,28,93.33333333333333
