Month,Observed,Likely,Noone,% of None
Jan,4,0,24,85.71428571428571
Feb,9,0,16,64.0
Mar,1,0,29,96.66666666666667
Apr,1,0,26,96.29629629629629
May,1,0,30,96.7741935483871
Jun,0,0,27,100.0
Jul,0,0,30,100.0
Aug,0,0,30,100.0
Sep,11,0,20,64.51612903225806
Oct,5,0,26,83.87096774193549
Nov,2,0,27,93.10344827586206
Dec,13,0,18,58.064516129032256
