Month,Observed,Likely,Noone,% of None
Jan,0,0,0,0.0
Feb,0,0,0,0.0
Mar,0,3,28,90.3225806451613
Apr,0,1,29,96.66666666666667
May,0,0,31,100.0
Jun,0,0,29,100.0
Jul,0,0,30,100.0
Aug,0,0,31,100.0
Sep,0,0,27,100.0
Oct,0,0,30,100.0
Nov,0,3,25,89.28571428571429
Dec,2,3,25,83.33333333333333
