Month,Many,Some,Likely,None,% of None
Jan,0,0,0,0,0.0
Feb,0,0,0,0,0.0
Mar,0,0,0,29,100.0
Apr,0,0,6,25,80.64516129032258
May,0,0,1,26,96.29629629629629
Jun,0,0,0,30,100.0
Jul,0,0,0,27,100.0
Aug,0,0,0,28,100.0
Sep,0,0,0,28,100.0
Oct,2,1,0,26,89.65517241379311
Nov,0,6,4,18,64.28571428571429
Dec,2,3,4,20,68.96551724137932
