Month,Observed,Likely,Noone,% of None
Jan,1,0,29,96.66666666666667
Feb,2,0,23,92.0
Mar,0,0,29,100.0
Apr,0,0,27,100.0
May,0,0,0,0.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,2,100.0
Oct,2,0,26,92.85714285714286
Nov,1,0,28,96.55172413793103
Dec,2,0,27,93.10344827586206
