Month,Observed,Likely,Noone,% of None
Jan,1,0,28,96.55172413793103
Feb,9,0,19,67.85714285714286
Mar,3,0,25,89.28571428571429
Apr,1,0,27,96.42857142857143
May,0,0,31,100.0
Jun,0,0,26,100.0
Jul,0,0,31,100.0
Aug,0,0,30,100.0
Sep,2,0,20,90.9090909090909
Oct,2,0,29,93.54838709677419
Nov,0,0,29,100.0
Dec,3,0,28,90.3225806451613
