Month,Observed,Likely,None,% of None
Jan,4,11,14,48.275862068965516
Feb,6,7,17,56.666666666666664
Mar,4,0,26,86.66666666666667
Apr,0,0,30,100.0
May,0,0,22,100.0
Jun,0,0,0,0.0
Jul,0,0,0,0.0
Aug,0,0,0,0.0
Sep,0,0,0,0.0
Oct,0,0,0,0.0
Nov,0,0,0,0.0
Dec,0,0,0,0.0
